N,M,NIST_pass_status_1,NIST_pass_status_2,NIST_pass_status_3,NIST_pass_status_4,NIST_pass_status_5,NIST_pass_status_6,NIST_pass_status_7,NIST_pass_status_8,NIST_pass_status_9,NIST_pass_status_10,NIST_pass_status_11,NIST_pass_status_12,NIST_pass_status_13,NIST_pass_status_14,NIST_pass_status_15,NIST_pass_rate,autocorr_pass_status,autocorr_coefficient,runs_pass_status,runs_p_value
17,6,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007419007419007419,0,1.1912680744400946e-13
17,7,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.010331010331010332,0,5.186228757009563e-25
17,8,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,40.0,1,0.008995008995008996,0,2.616306983071949e-19
17,9,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,53.333333333333336,1,0.009177009177009176,0,4.741273350735721e-20
17,10,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.010565010565010566,0,4.5447470542188873e-26
17,11,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.009567009567009567,0,0.0
17,12,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007173007173007173,0,0.0
17,13,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,46.666666666666664,1,0.011327011327011327,0,0.0
17,14,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009527009527009528,0,1.669295656206671e-21
17,15,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007541007541007541,0,4.722089105999796e-14
17,16,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.00912100912100912,0,7.695303995659637e-20
18,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010007010007010007,0,0.0
18,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.007399007399007399,0,1.4100218928006772e-13
18,2,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009243009243009243,0,2.421338508864538e-20
